
2024/12/28 (16:31:19) | ===> btop++ v.1.4.0
2024/12/28 (16:31:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/28 (16:32:28) | ===> btop++ v.1.4.0
2024/12/28 (16:32:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/28 (19:04:30) | ===> btop++ v.1.4.0
2024/12/28 (19:04:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/28 (19:28:36) | ===> btop++ v.1.4.0
2024/12/28 (19:28:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/28 (20:34:10) | ===> btop++ v.1.4.0
2024/12/28 (20:34:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (01:12:49) | ===> btop++ v.1.4.0
2024/12/29 (01:12:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (01:15:25) | ===> btop++ v.1.4.0
2024/12/29 (01:15:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (01:18:05) | ===> btop++ v.1.4.0
2024/12/29 (01:18:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (14:48:18) | ===> btop++ v.1.4.0
2024/12/29 (14:48:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (16:03:14) | ===> btop++ v.1.4.0
2024/12/29 (16:03:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/29 (19:33:49) | ===> btop++ v.1.4.0
2024/12/29 (19:33:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (13:07:58) | ===> btop++ v.1.4.0
2024/12/30 (13:07:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (13:27:34) | ===> btop++ v.1.4.0
2024/12/30 (13:27:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (13:57:42) | ===> btop++ v.1.4.0
2024/12/30 (13:57:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (14:40:00) | ===> btop++ v.1.4.0
2024/12/30 (14:40:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/30 (23:42:03) | ===> btop++ v.1.4.0
2024/12/30 (23:42:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/31 (18:40:30) | ===> btop++ v.1.4.0
2024/12/31 (18:40:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (00:20:22) | ===> btop++ v.1.4.0
2025/01/01 (00:20:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (14:39:08) | ===> btop++ v.1.4.0
2025/01/01 (14:39:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (17:00:43) | ===> btop++ v.1.4.0
2025/01/01 (17:00:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (17:51:05) | ===> btop++ v.1.4.0
2025/01/01 (17:51:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/01 (18:01:03) | ===> btop++ v.1.4.0
2025/01/01 (18:01:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
